Date,CampaignID,CampaignName,Platform,TargetAudience,Impressions,Clicks,Leads,Applications,Enrollments,Cost (₹),Revenue (₹),Region,CTR (%),Lead Conversion Rate (%),Application Conversion Rate (%),Enrollment Conversion Rate (%),ROI (%),Cost per Lead (₹),Cost per Enrollment (₹)
2024-05-02,AD001,UG Admission,Google Ads,17–21 Age,52572,2746,633,286,115,31495.18,721471.98,West India,5.22,23.05,45.18,40.21,2190.74,49.76,273.87
2024-05-03,AD001,UG Admission,Google Ads,17–21 Age,182398,9821,2358,1144,659,117138.56,4142036.47,Pan India,5.38,24.01,48.52,57.6,3436.01,49.68,177.75
2024-05-04,AD001,UG Admission,Google Ads,17–21 Age,291292,19445,3115,1736,1028,264152.72,6279650.61,South India,6.68,16.02,55.73,59.22,2277.28,84.8,256.96
2024-05-05,AD001,UG Admission,Google Ads,17–21 Age,209896,11020,2016,1282,676,134786.32,5166291.92,West India,5.25,18.29,63.59,52.73,3732.95,66.86,199.39
2024-05-06,AD001,UG Admission,Google Ads,17–21 Age,212729,11086,2540,1442,785,148219.13,2403528.22,Pan India,5.21,22.91,56.77,54.44,1521.6,58.35,188.81
2024-05-07,AD001,UG Admission,Google Ads,17–21 Age,53575,1779,383,198,83,31495.13,562987.04,South India,3.32,21.53,51.7,41.92,1687.54,82.23,379.46
2024-05-08,AD001,UG Admission,Google Ads,17–21 Age,77717,5458,1240,600,252,39733.88,1374432.65,North India,7.02,22.72,48.39,42.0,3359.09,32.04,157.67
2024-05-09,AD001,UG Admission,Google Ads,17–21 Age,254812,8231,1789,905,508,214463.0,3712872.07,Pan India,3.23,21.73,50.59,56.13,1631.24,119.88,422.17
2024-05-10,AD001,UG Admission,Google Ads,17–21 Age,159338,8621,1987,1010,560,121166.88,2837406.55,Pan India,5.41,23.05,50.83,55.45,2241.73,60.98,216.37
2024-05-11,AD001,UG Admission,Google Ads,17–21 Age,107691,5395,912,434,235,50972.7,1299358.1,North India,5.01,16.9,47.59,54.15,2449.13,55.89,216.91
2024-05-12,AD001,UG Admission,Google Ads,17–21 Age,150217,9087,1717,921,420,84200.07,2218829.95,North India,6.05,18.9,53.64,45.6,2535.19,49.04,200.48
2024-05-13,AD001,UG Admission,Google Ads,17–21 Age,227093,11820,2504,1225,522,192460.38,2362547.82,North India,5.2,21.18,48.92,42.61,1127.55,76.86,368.7
2024-05-14,AD001,UG Admission,Google Ads,17–21 Age,212823,12602,1904,1005,425,107267.35,1912334.83,West India,5.92,15.11,52.78,42.29,1682.77,56.34,252.39
2024-05-15,AD001,UG Admission,Google Ads,17–21 Age,129087,4033,640,346,198,101205.53,1581964.16,West India,3.12,15.87,54.06,57.23,1463.12,158.13,511.14
2024-05-16,AD001,UG Admission,Google Ads,17–21 Age,95904,4183,667,322,147,66125.77,751735.0,North India,4.36,15.95,48.28,45.65,1036.83,99.14,449.84
2024-05-17,AD001,UG Admission,Google Ads,17–21 Age,135876,8214,1729,909,441,85485.01,2700293.92,Pan India,6.05,21.05,52.57,48.51,3058.79,49.44,193.84
2024-05-18,AD001,UG Admission,Google Ads,17–21 Age,280625,14687,2934,1372,655,191298.55,3980786.43,Pan India,5.23,19.98,46.76,47.74,1980.93,65.2,292.06
2024-05-19,AD001,UG Admission,Google Ads,17–21 Age,99328,5165,1149,717,314,59406.59,1218839.81,Pan India,5.2,22.25,62.4,43.79,1951.69,51.7,189.19
2024-05-20,AD001,UG Admission,Google Ads,17–21 Age,144094,11075,2057,1117,577,118500.5,3178344.45,North India,7.69,18.57,54.3,51.66,2582.14,57.61,205.37
2024-05-21,AD001,UG Admission,Google Ads,17–21 Age,257103,13993,3038,1674,939,151753.51,5715057.08,South India,5.44,21.71,55.1,56.09,3666.01,49.95,161.61
2024-05-22,AD001,UG Admission,Google Ads,17–21 Age,209828,14119,2701,1585,667,164161.53,3749676.3,North India,6.73,19.13,58.68,42.08,2184.14,60.78,246.12
2024-05-23,AD001,UG Admission,Google Ads,17–21 Age,218859,11905,1854,941,482,120754.52,1563740.44,East India,5.44,15.57,50.76,51.22,1194.97,65.13,250.53
2024-05-24,AD001,UG Admission,Google Ads,17–21 Age,210510,12742,2399,1408,810,182684.18,6159533.63,West India,6.05,18.83,58.69,57.53,3271.68,76.15,225.54
2024-05-25,AD001,UG Admission,Google Ads,17–21 Age,112134,3488,542,286,159,76411.33,520844.26,North India,3.11,15.54,52.77,55.59,581.63,140.98,480.57
2024-05-26,AD001,UG Admission,Google Ads,17–21 Age,167323,6870,1386,656,339,154889.76,2689431.95,West India,4.11,20.17,47.33,51.68,1636.35,111.75,456.9
2024-05-27,AD001,UG Admission,Google Ads,17–21 Age,71573,3385,572,368,169,37172.3,1300602.63,South India,4.73,16.9,64.34,45.92,3398.85,64.99,219.95
2024-05-28,AD001,UG Admission,Google Ads,17–21 Age,157823,9513,2121,1051,506,109850.41,3668863.75,South India,6.03,22.3,49.55,48.14,3239.87,51.79,217.1
2024-05-29,AD001,UG Admission,Google Ads,17–21 Age,170857,13220,2821,1398,619,96132.33,4551261.95,North India,7.74,21.34,49.56,44.28,4634.37,34.08,155.3
2024-05-30,AD001,UG Admission,Google Ads,17–21 Age,286098,8605,1496,757,307,284695.91,2297719.94,North India,3.01,17.39,50.6,40.55,707.08,190.3,927.35
2024-05-31,AD001,UG Admission,Google Ads,17–21 Age,179655,7512,1329,827,420,177940.53,2774452.44,South India,4.18,17.69,62.23,50.79,1459.2,133.89,423.67
2024-06-01,AD001,UG Admission,Google Ads,17–21 Age,200920,10462,2244,1338,750,142412.11,4242470.36,West India,5.21,21.45,59.63,56.05,2879.01,63.46,189.88
2024-06-02,AD001,UG Admission,Google Ads,17–21 Age,277733,19722,3356,1999,1087,267369.15,6633449.5,East India,7.1,17.02,59.56,54.38,2381.01,79.67,245.97
2024-06-03,AD001,UG Admission,Google Ads,17–21 Age,163525,6314,1573,794,445,161244.1,2892185.32,East India,3.86,24.91,50.48,56.05,1693.67,102.51,362.35
2024-06-04,AD001,UG Admission,Google Ads,17–21 Age,57200,2876,542,295,144,40656.16,1131479.57,North India,5.03,18.85,54.43,48.81,2683.05,75.01,282.33
2024-06-05,AD001,UG Admission,Google Ads,17–21 Age,138496,6165,1152,534,238,78355.93,1666242.27,West India,4.45,18.69,46.35,44.57,2026.5,68.02,329.23
2024-06-06,AD001,UG Admission,Google Ads,17–21 Age,173098,12987,2605,1205,678,171934.55,4701884.7,East India,7.5,20.06,46.26,56.27,2634.69,66.0,253.59
2024-06-07,AD001,UG Admission,Google Ads,17–21 Age,132867,6166,1353,871,423,110775.88,1886619.18,North India,4.64,21.94,64.38,48.56,1603.1,81.87,261.88
2024-06-08,AD001,UG Admission,Google Ads,17–21 Age,78405,5902,1106,584,309,59265.23,1624992.95,Pan India,7.53,18.74,52.8,52.91,2641.9,53.59,191.8
2024-06-09,AD001,UG Admission,Google Ads,17–21 Age,123612,8089,1527,775,424,113946.27,3146851.09,Pan India,6.54,18.88,50.75,54.71,2661.7,74.62,268.74
2024-06-10,AD001,UG Admission,Google Ads,17–21 Age,195933,8997,1665,915,447,189378.11,2736847.83,North India,4.59,18.51,54.95,48.85,1345.18,113.74,423.66
2024-06-11,AD001,UG Admission,Google Ads,17–21 Age,107645,6490,1396,669,394,64452.16,2150210.51,South India,6.03,21.51,47.92,58.89,3236.13,46.17,163.58
2024-06-12,AD001,UG Admission,Google Ads,17–21 Age,126990,3967,640,342,195,78557.41,817559.85,South India,3.12,16.13,53.44,57.02,940.72,122.75,402.86
2024-06-13,AD001,UG Admission,Google Ads,17–21 Age,173173,6384,1547,788,399,127532.25,2683477.69,East India,3.69,24.23,50.94,50.63,2004.16,82.44,319.63
2024-06-14,AD001,UG Admission,Google Ads,17–21 Age,267033,20262,3713,2404,1299,216742.23,7943328.02,Pan India,7.59,18.32,64.75,54.03,3564.87,58.37,166.85
2024-06-15,AD001,UG Admission,Google Ads,17–21 Age,132726,7918,1387,700,353,57062.19,1916053.2,East India,5.97,17.52,50.47,50.43,3257.83,41.14,161.65
2024-06-16,AD001,UG Admission,Google Ads,17–21 Age,251270,9386,1500,689,349,244867.93,2427243.89,North India,3.74,15.98,45.93,50.65,891.25,163.25,701.63
2024-06-17,AD001,UG Admission,Google Ads,17–21 Age,207125,16396,3081,1427,767,130264.98,5214044.04,West India,7.92,18.79,46.32,53.75,3902.64,42.28,169.84
2024-06-18,AD001,UG Admission,Google Ads,17–21 Age,224667,15878,3948,2098,1224,195773.85,4343632.79,East India,7.07,24.86,53.14,58.34,2118.7,49.59,159.95
2024-06-19,AD001,UG Admission,Google Ads,17–21 Age,295874,20384,3505,2023,974,195140.62,5500364.7,East India,6.89,17.19,57.72,48.15,2718.67,55.67,200.35
2024-06-20,AD001,UG Admission,Google Ads,17–21 Age,205409,7026,1119,706,423,175824.96,1322998.03,Pan India,3.42,15.93,63.09,59.92,652.45,157.13,415.66
2024-06-21,AD001,UG Admission,Google Ads,17–21 Age,189047,7231,1473,846,469,149311.23,2655170.75,North India,3.82,20.37,57.43,55.44,1678.28,101.37,318.36
2024-06-22,AD001,UG Admission,Google Ads,17–21 Age,174907,8495,2121,1059,425,134700.51,2590998.61,North India,4.86,24.97,49.93,40.13,1823.53,63.51,316.94
2024-06-23,AD001,UG Admission,Google Ads,17–21 Age,176167,10868,1936,1164,627,121892.02,4751275.42,East India,6.17,17.81,60.12,53.87,3797.94,62.96,194.41
2024-06-24,AD001,UG Admission,Google Ads,17–21 Age,170905,8986,2123,1289,772,77320.5,3546992.04,Pan India,5.26,23.63,60.72,59.89,4487.39,36.42,100.16
2024-06-25,AD001,UG Admission,Google Ads,17–21 Age,92195,6158,1102,514,217,53344.57,1158159.81,West India,6.68,17.9,46.64,42.22,2071.09,48.41,245.83
2024-06-26,AD001,UG Admission,Google Ads,17–21 Age,144589,11439,2189,1146,674,93882.94,3774177.24,Pan India,7.91,19.14,52.35,58.81,3920.09,42.89,139.29
2024-06-27,AD001,UG Admission,Google Ads,17–21 Age,218634,13467,2852,1603,838,196856.04,2571768.14,North India,6.16,21.18,56.21,52.28,1206.42,69.02,234.91
2024-06-28,AD001,UG Admission,Google Ads,17–21 Age,224017,17218,3927,2217,1085,145416.06,7154154.91,North India,7.69,22.81,56.46,48.94,4819.78,37.03,134.02
2024-06-29,AD001,UG Admission,Google Ads,17–21 Age,99562,5277,1146,694,296,73478.7,920163.38,North India,5.3,21.72,60.56,42.65,1152.29,64.12,248.24
2024-06-30,AD001,UG Admission,Google Ads,17–21 Age,247894,9939,2312,1356,632,174102.28,4208262.52,West India,4.01,23.26,58.65,46.61,2317.12,75.3,275.48
2024-07-01,AD001,UG Admission,Google Ads,17–21 Age,189966,6959,1711,797,357,128422.24,2524973.42,South India,3.66,24.59,46.58,44.79,1866.15,75.06,359.73
2024-07-02,AD001,UG Admission,Google Ads,17–21 Age,290368,17043,2956,1912,1082,182544.6,3348574.79,South India,5.87,17.34,64.68,56.59,1734.39,61.75,168.71
2024-07-03,AD001,UG Admission,Google Ads,17–21 Age,98624,5398,1025,555,234,58644.23,1605697.96,East India,5.47,18.99,54.15,42.16,2638.03,57.21,250.62
2024-07-04,AD001,UG Admission,Google Ads,17–21 Age,185544,8967,1881,974,497,143891.23,2013575.82,North India,4.83,20.98,51.78,51.03,1299.37,76.5,289.52
2024-07-05,AD001,UG Admission,Google Ads,17–21 Age,64345,2893,673,399,231,58397.08,1512057.86,East India,4.5,23.26,59.29,57.89,2489.27,86.77,252.8
2024-07-06,AD001,UG Admission,Google Ads,17–21 Age,260059,15459,2859,1616,748,238169.83,3760809.01,Pan India,5.94,18.49,56.52,46.29,1479.05,83.31,318.41
2024-07-07,AD001,UG Admission,Google Ads,17–21 Age,272679,12573,2386,1298,669,125239.22,4864239.68,East India,4.61,18.98,54.4,51.54,3783.96,52.49,187.2
2024-07-08,AD001,UG Admission,Google Ads,17–21 Age,248350,16741,2897,1713,861,217164.85,3498930.88,Pan India,6.74,17.3,59.13,50.26,1511.19,74.96,252.22
2024-07-09,AD001,UG Admission,Google Ads,17–21 Age,177393,7806,1826,1016,471,138014.22,3729596.77,Pan India,4.4,23.39,55.64,46.36,2602.33,75.58,293.02
2024-07-10,AD001,UG Admission,Google Ads,17–21 Age,151029,9303,1887,1057,498,70776.38,1931400.27,Pan India,6.16,20.28,56.01,47.11,2628.88,37.51,142.12
2024-07-11,AD001,UG Admission,Google Ads,17–21 Age,53745,4296,787,354,145,28330.69,567612.72,North India,7.99,18.32,44.98,40.96,1903.53,36.0,195.38
2024-07-12,AD001,UG Admission,Google Ads,17–21 Age,81985,2676,589,334,155,39730.86,1134386.5,East India,3.26,22.01,56.71,46.41,2755.18,67.45,256.33
2024-07-13,AD001,UG Admission,Google Ads,17–21 Age,101535,3234,704,418,167,49643.44,538637.71,South India,3.19,21.77,59.38,39.95,985.01,70.52,297.27
2024-07-14,AD001,UG Admission,Google Ads,17–21 Age,56203,3399,526,282,124,50748.12,703721.34,East India,6.05,15.48,53.61,43.97,1286.69,96.48,409.26
2024-07-15,AD001,UG Admission,Google Ads,17–21 Age,172571,12649,2920,1512,709,144033.44,4185547.5,West India,7.33,23.08,51.78,46.89,2805.96,49.33,203.15
2024-07-16,AD001,UG Admission,Google Ads,17–21 Age,206620,15320,3284,2077,936,107031.96,4032427.25,West India,7.41,21.44,63.25,45.06,3667.5,32.59,114.35
2024-07-17,AD001,UG Admission,Google Ads,17–21 Age,238579,11277,1997,942,481,200472.94,1996665.29,West India,4.73,17.71,47.17,51.06,895.98,100.39,416.78
2024-07-18,AD001,UG Admission,Google Ads,17–21 Age,299596,13778,2469,1401,803,133225.18,4364604.85,Pan India,4.6,17.92,56.74,57.32,3176.11,53.96,165.91
2024-07-19,AD001,UG Admission,Google Ads,17–21 Age,289584,9928,1754,852,495,233553.6,1607665.33,North India,3.43,17.67,48.57,58.1,588.35,133.15,471.83
2024-07-20,AD001,UG Admission,Google Ads,17–21 Age,272890,10309,2371,1461,865,248690.64,6675094.56,West India,3.78,23.0,61.62,59.21,2584.1,104.89,287.5
2024-07-21,AD001,UG Admission,Google Ads,17–21 Age,285905,8585,1949,993,582,254211.76,3218555.65,West India,3.0,22.7,50.95,58.61,1166.09,130.43,436.79
2024-07-22,AD001,UG Admission,Google Ads,17–21 Age,92579,6825,1236,768,372,46340.62,2501009.92,West India,7.37,18.11,62.14,48.44,5297.01,37.49,124.57
2024-07-23,AD001,UG Admission,Google Ads,17–21 Age,262199,20171,3719,2289,1259,108832.62,8859616.13,North India,7.69,18.44,61.55,55.0,8040.59,29.26,86.44
2024-07-24,AD001,UG Admission,Google Ads,17–21 Age,198212,6874,1415,799,462,108824.3,3333666.45,Pan India,3.47,20.58,56.47,57.82,2963.35,76.91,235.55
2024-07-25,AD001,UG Admission,Google Ads,17–21 Age,118809,7312,1760,995,443,100651.52,2996388.37,West India,6.15,24.07,56.53,44.52,2876.99,57.19,227.2
2024-07-26,AD001,UG Admission,Google Ads,17–21 Age,182889,5572,878,401,226,93158.25,1525793.32,North India,3.05,15.76,45.67,56.36,1537.85,106.1,412.2
2024-07-27,AD001,UG Admission,Google Ads,17–21 Age,85016,3976,731,365,182,39557.93,1358545.74,South India,4.68,18.39,49.93,49.86,3334.32,54.11,217.35
2024-07-28,AD001,UG Admission,Google Ads,17–21 Age,136206,8419,2017,1200,719,66697.45,3914237.0,West India,6.18,23.96,59.49,59.92,5768.65,33.07,92.76
2024-07-29,AD001,UG Admission,Google Ads,17–21 Age,165347,11046,2068,1143,503,143383.04,1991695.9,South India,6.68,18.72,55.27,44.01,1289.07,69.33,285.06
2024-07-30,AD001,UG Admission,Google Ads,17–21 Age,293930,12917,3074,1552,860,135737.98,4957159.97,West India,4.39,23.8,50.49,55.41,3552.01,44.16,157.83
2024-07-31,AD001,UG Admission,Google Ads,17–21 Age,143598,9751,1930,965,442,121893.19,1449676.75,Pan India,6.79,19.79,50.0,45.8,1089.3,63.16,275.78
2024-08-01,AD001,UG Admission,Google Ads,17–21 Age,54410,4309,693,357,191,48121.46,1063428.31,North India,7.92,16.08,51.52,53.5,2109.88,69.44,251.94
2024-08-01,AD005,Semester Exchange Program,Instagram,22–27 Age,100600,4426,1006,578,315,88124.93,2363533.5,South India,4.4,22.73,57.46,54.5,2582.03,87.6,279.76
2024-08-02,AD001,UG Admission,Google Ads,17–21 Age,132675,10342,1904,862,374,113475.65,1926663.81,North India,7.79,18.41,45.27,43.39,1597.87,59.6,303.41
2024-08-02,AD005,Semester Exchange Program,Instagram,17–21 Age,120721,9109,1747,1023,521,75049.88,2509324.06,North India,7.55,19.18,58.56,50.93,3243.54,42.96,144.05
2024-08-03,AD001,UG Admission,Google Ads,17–21 Age,200741,11692,2445,1190,664,136500.62,3345576.76,South India,5.82,20.91,48.67,55.8,2350.96,55.83,205.57
2024-08-03,AD005,Semester Exchange Program,Instagram,17–21 Age,208142,16098,3655,2210,1252,141729.43,7709099.55,Pan India,7.73,22.7,60.47,56.65,5339.31,38.78,113.2
2024-08-04,AD001,UG Admission,Google Ads,17–21 Age,62326,2288,416,208,97,53808.35,514275.89,West India,3.67,18.18,50.0,46.63,855.75,129.35,554.73
2024-08-04,AD005,Semester Exchange Program,Instagram,22–27 Age,60178,3164,594,300,141,36780.38,638055.97,East India,5.26,18.77,50.51,47.0,1634.77,61.92,260.85
2024-08-05,AD001,UG Admission,Google Ads,17–21 Age,105561,6091,1210,657,361,58132.88,1085319.27,South India,5.77,19.87,54.3,54.95,1766.96,48.04,161.03
2024-08-05,AD005,Semester Exchange Program,Instagram,17–21 Age,108128,4562,1033,586,260,58193.29,1634560.79,South India,4.22,22.64,56.73,44.37,2708.85,56.33,223.82
2024-08-06,AD001,UG Admission,Google Ads,17–21 Age,96715,4883,1120,538,232,43537.41,1813996.79,East India,5.05,22.94,48.04,43.12,4066.52,38.87,187.66
2024-08-06,AD005,Semester Exchange Program,Instagram,25–35 Age,99786,4538,843,475,270,86472.87,1992669.9,North India,4.55,18.58,56.35,56.84,2204.39,102.58,320.27
2024-08-07,AD001,UG Admission,Google Ads,17–21 Age,297887,19916,3329,2125,936,270727.95,2895011.75,West India,6.69,16.72,63.83,44.05,969.34,81.32,289.24
2024-08-07,AD005,Semester Exchange Program,Instagram,17–21 Age,54376,2198,530,240,98,48889.03,404235.06,Pan India,4.04,24.11,45.28,40.83,726.84,92.24,498.87
2024-08-08,AD001,UG Admission,Google Ads,17–21 Age,88036,3843,807,511,208,69666.14,1270694.45,Pan India,4.37,21.0,63.32,40.7,1723.98,86.33,334.93
2024-08-08,AD005,Semester Exchange Program,Instagram,17–21 Age,276523,11747,1913,1099,451,112550.84,3062511.38,West India,4.25,16.29,57.45,41.04,2621.0,58.83,249.56
2024-08-09,AD001,UG Admission,Google Ads,17–21 Age,61270,3608,771,487,203,48486.67,1016705.47,South India,5.89,21.37,63.16,41.68,1996.88,62.89,238.85
2024-08-09,AD005,Semester Exchange Program,Instagram,25–35 Age,175935,8558,1832,1035,601,163462.72,2873827.39,East India,4.86,21.41,56.5,58.07,1658.09,89.23,271.98
2024-08-10,AD001,UG Admission,Google Ads,17–21 Age,270202,19267,3864,1957,1169,132916.08,5811867.04,Pan India,7.13,20.06,50.65,59.73,4272.58,34.4,113.7
2024-08-10,AD005,Semester Exchange Program,Instagram,17–21 Age,70308,4870,930,492,251,51723.19,1262103.52,South India,6.93,19.1,52.9,51.02,2340.11,55.62,206.07
2024-08-11,AD001,UG Admission,Google Ads,17–21 Age,206790,15329,3569,2038,1076,151435.23,8479988.83,South India,7.41,23.28,57.1,52.8,5499.75,42.43,140.74
2024-08-11,AD005,Semester Exchange Program,Instagram,25–35 Age,239465,10006,1533,767,445,119177.15,3554173.67,North India,4.18,15.32,50.03,58.02,2882.26,77.74,267.81
2024-08-12,AD001,UG Admission,Google Ads,17–21 Age,143259,4765,1041,609,246,103534.0,1950084.07,Pan India,3.33,21.85,58.5,40.39,1783.52,99.46,420.87
2024-08-12,AD005,Semester Exchange Program,Instagram,25–35 Age,60504,2239,539,322,184,54506.92,1051156.08,Pan India,3.7,24.07,59.74,57.14,1828.48,101.13,296.23
2024-08-13,AD001,UG Admission,Google Ads,17–21 Age,203962,9650,2394,1402,591,143265.17,2808713.52,North India,4.73,24.81,58.56,42.15,1860.5,59.84,242.41
2024-08-13,AD005,Semester Exchange Program,Instagram,17–21 Age,140195,9654,1913,1044,524,78718.46,3267340.14,West India,6.89,19.82,54.57,50.19,4050.67,41.15,150.23
2024-08-14,AD001,UG Admission,Google Ads,17–21 Age,93684,5805,1305,670,372,41067.66,1553036.39,West India,6.2,22.48,51.34,55.52,3681.65,31.47,110.4
2024-08-14,AD005,Semester Exchange Program,Instagram,25–35 Age,184290,10858,2176,991,427,163226.63,1995132.12,South India,5.89,20.04,45.54,43.09,1122.31,75.01,382.26
2024-08-15,AD001,UG Admission,Google Ads,17–21 Age,246897,8565,2017,1112,614,246807.4,4424382.49,North India,3.47,23.55,55.13,55.22,1692.65,122.36,401.97
2024-08-15,AD005,Semester Exchange Program,Instagram,17–21 Age,75772,2986,585,343,194,50358.62,1510026.78,North India,3.94,19.59,58.63,56.56,2898.55,86.08,259.58
2024-08-16,AD001,UG Admission,Google Ads,17–21 Age,259857,18951,3776,2370,1066,110740.59,3876986.66,North India,7.29,19.93,62.76,44.98,3400.96,29.33,103.88
2024-08-16,AD005,Semester Exchange Program,Instagram,25–35 Age,147185,8624,2052,1243,630,102580.43,3446317.81,West India,5.86,23.79,60.58,50.68,3259.63,49.99,162.83
2024-08-17,AD001,UG Admission,Google Ads,17–21 Age,160425,11372,2306,1230,588,133747.28,2831000.7,North India,7.09,20.28,53.34,47.8,2016.68,58.0,227.46
2024-08-17,AD005,Semester Exchange Program,Instagram,22–27 Age,196487,8699,1691,1051,613,171743.84,3311850.86,South India,4.43,19.44,62.15,58.33,1828.37,101.56,280.17
2024-08-18,AD001,UG Admission,Google Ads,17–21 Age,136692,7477,1371,764,442,120425.27,2071543.89,West India,5.47,18.34,55.73,57.85,1620.19,87.84,272.46
2024-08-18,AD005,Semester Exchange Program,Instagram,25–35 Age,254671,15131,3100,1454,638,167140.01,4151995.55,West India,5.94,20.49,46.9,43.88,2384.14,53.92,261.97
2024-08-19,AD001,UG Admission,Google Ads,17–21 Age,167681,13225,2990,1842,894,92404.26,6148023.7,North India,7.89,22.61,61.61,48.53,6553.4,30.9,103.36
2024-08-19,AD005,Semester Exchange Program,Instagram,17–21 Age,150411,8934,1854,1043,438,83953.46,3329055.06,East India,5.94,20.75,56.26,41.99,3865.36,45.28,191.67
2024-08-20,AD001,UG Admission,Google Ads,17–21 Age,50916,2686,642,387,160,34435.4,774444.94,North India,5.28,23.9,60.28,41.34,2148.98,53.64,215.22
2024-08-20,AD005,Semester Exchange Program,Instagram,22–27 Age,266600,18274,4074,2224,907,192783.02,4819731.14,South India,6.85,22.29,54.59,40.78,2400.08,47.32,212.55
2024-08-21,AD001,UG Admission,Google Ads,17–21 Age,246115,17238,2715,1569,816,239237.62,5018704.73,East India,7.0,15.75,57.79,52.01,1997.79,88.12,293.18
2024-08-21,AD005,Semester Exchange Program,Instagram,17–21 Age,286047,14611,3332,1656,978,195179.76,5342189.13,North India,5.11,22.8,49.7,59.06,2637.06,58.58,199.57
2024-08-22,AD001,UG Admission,Google Ads,17–21 Age,55434,3340,628,299,157,47688.64,567663.31,Pan India,6.03,18.8,47.61,52.51,1090.35,75.94,303.75
2024-08-22,AD005,Semester Exchange Program,Instagram,17–21 Age,138420,9190,1758,895,476,121775.58,3796435.52,South India,6.64,19.13,50.91,53.18,3017.57,69.27,255.83
2024-08-23,AD001,UG Admission,Google Ads,17–21 Age,212121,8521,1831,1065,523,210422.93,1816349.21,South India,4.02,21.49,58.16,49.11,763.19,114.92,402.34
2024-08-23,AD005,Semester Exchange Program,Instagram,22–27 Age,174155,7729,1269,726,423,114529.99,1755445.01,South India,4.44,16.42,57.21,58.26,1432.74,90.25,270.76
2024-08-24,AD001,UG Admission,Google Ads,17–21 Age,298055,23238,3774,2035,1015,255249.45,5574248.14,West India,7.8,16.24,53.92,49.88,2083.84,67.63,251.48
2024-08-24,AD005,Semester Exchange Program,Instagram,17–21 Age,73433,3246,574,335,163,43645.42,1029954.06,Pan India,4.42,17.68,58.36,48.66,2259.82,76.04,267.76
2024-08-25,AD001,UG Admission,Google Ads,17–21 Age,273318,12830,2725,1477,719,249800.87,3360100.1,West India,4.69,21.24,54.2,48.68,1245.11,91.67,347.43
2024-08-25,AD005,Semester Exchange Program,Instagram,17–21 Age,190927,8324,1746,1040,502,153681.46,1737263.59,West India,4.36,20.98,59.56,48.27,1030.43,88.02,306.14
2024-08-26,AD001,UG Admission,Google Ads,17–21 Age,280548,22400,3381,2001,1115,243363.91,7580435.6,Pan India,7.98,15.09,59.18,55.72,3014.86,71.98,218.26
2024-08-26,AD005,Semester Exchange Program,Instagram,17–21 Age,285397,15333,2569,1619,881,167612.44,5312696.48,Pan India,5.37,16.75,63.02,54.42,3069.63,65.24,190.25
2024-08-27,AD001,UG Admission,Google Ads,17–21 Age,230587,11780,2103,985,557,170545.05,2172105.58,North India,5.11,17.85,46.84,56.55,1173.63,81.1,306.19
2024-08-27,AD005,Semester Exchange Program,Instagram,22–27 Age,239102,11777,2683,1443,793,178773.39,6237099.54,South India,4.93,22.78,53.78,54.95,3388.83,66.63,225.44
2024-08-28,AD001,UG Admission,Google Ads,17–21 Age,122769,4992,1154,639,335,76198.02,1803614.19,East India,4.07,23.12,55.37,52.43,2267.01,66.03,227.46
2024-08-28,AD005,Semester Exchange Program,Instagram,25–35 Age,118445,9312,1796,862,394,53888.89,1248957.41,Pan India,7.86,19.29,48.0,45.71,2217.65,30.0,136.77
2024-08-29,AD001,UG Admission,Google Ads,17–21 Age,176924,6002,1405,726,305,149271.1,1316066.43,Pan India,3.39,23.41,51.67,42.01,781.66,106.24,489.41
2024-08-29,AD005,Semester Exchange Program,Instagram,17–21 Age,141835,4781,815,412,201,71163.26,1195976.69,East India,3.37,17.05,50.55,48.79,1580.61,87.32,354.05
2024-08-30,AD001,UG Admission,Google Ads,17–21 Age,89353,3461,777,423,218,68408.44,1404431.2,East India,3.87,22.45,54.44,51.54,1953.01,88.04,313.8
2024-08-30,AD005,Semester Exchange Program,Instagram,25–35 Age,172603,13771,3131,1756,957,123949.96,7284646.5,West India,7.98,22.74,56.08,54.5,5777.09,39.59,129.52
2024-08-31,AD001,UG Admission,Google Ads,17–21 Age,275170,8309,2008,1217,654,116652.11,2196952.4,North India,3.02,24.17,60.61,53.74,1783.34,58.09,178.37
2024-08-31,AD005,Semester Exchange Program,Instagram,25–35 Age,188007,12565,2831,1364,556,100933.35,2063936.01,North India,6.68,22.53,48.18,40.76,1944.85,35.65,181.53
2024-09-01,AD005,Semester Exchange Program,Instagram,25–35 Age,277995,17323,3307,1962,807,119949.55,3907589.22,East India,6.23,19.09,59.33,41.13,3157.69,36.27,148.64
2024-09-02,AD005,Semester Exchange Program,Instagram,17–21 Age,204641,14981,3396,1681,682,155414.22,5373759.1,Pan India,7.32,22.67,49.5,40.57,3357.7,45.76,227.88
2024-09-03,AD005,Semester Exchange Program,Instagram,22–27 Age,80461,5310,1043,626,251,56362.02,988491.69,East India,6.6,19.64,60.02,40.1,1653.83,54.04,224.55
2024-09-04,AD005,Semester Exchange Program,Instagram,17–21 Age,225116,11836,2871,1828,993,145813.18,7254951.42,South India,5.26,24.26,63.67,54.32,4875.51,50.79,146.84
2024-09-05,AD005,Semester Exchange Program,Instagram,17–21 Age,116737,9182,1836,1173,621,99175.68,2537615.16,South India,7.87,20.0,63.89,52.94,2458.71,54.02,159.7
